taskId,sourceSheet,sourceRow,section,kpacId,title,function,stage,marker,requiredType,taskDescription,documentOrEvidence,responsible,remarks,expandedByAllGatesRule,uiStage,originalStage
GPM_GR-37-PKO-75,Gate Checklist-更新版,33,Process Design and Development-Jim Ji,GPM_GR-37,Estimated Facility Cost Estimate,Process Design and Development,PKO,X,required,Check if any building or plant auxiliaries equipment have been considered,,Mfg Engineering,,False,PKO,PKO
GPM_GR-37-Gate1-76,Gate Checklist-更新版,33,Process Design and Development-Jim Ji,GPM_GR-37,Estimated Facility Cost Estimate,Process Design and Development,Gate 1,X,required,Check if any building or plant auxiliaries equipment have been considered,,Mfg Engineering,,False,Gate1,Gate 1
GPM_GR-38-PKO-77,Gate Checklist-更新版,34,Process Design and Development-Jim Ji,GPM_GR-38,Preliminary Packaging Plan & Cost Estimate,Process Design and Development,PKO,X,required,"Check if internal and external handling (packaging etc) has been included in the cost estimation. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,PKO,PKO
GPM_GR-38-Gate1-78,Gate Checklist-更新版,34,Process Design and Development-Jim Ji,GPM_GR-38,Preliminary Packaging Plan & Cost Estimate,Process Design and Development,Gate 1,X,required,"Check if internal and external handling (packaging etc) has been included in the cost estimation. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,Gate1,Gate 1
GPM_GR-39-PKO-79,Gate Checklist-更新版,35,Process Design and Development-Jim Ji,GPM_GR-39,"Estimated CapEx, Expense, and Tooling Costs & Timing",Process Design and Development,PKO,X,required,Get confirmation of the assumptions to be considered in the AR,"Form A, Capex spending curve",Mfg Engineering,,False,PKO,PKO
GPM_GR-39-Gate1-80,Gate Checklist-更新版,35,Process Design and Development-Jim Ji,GPM_GR-39,"Estimated CapEx, Expense, and Tooling Costs & Timing",Process Design and Development,Gate 1,X,required,Get confirmation of the assumptions to be considered in the AR,"Form A, Capex spending curve",Mfg Engineering,,False,Gate1,Gate 1
GPM_GR-40-Gate2-81,Gate Checklist-更新版,36,Process Design and Development-Jim Ji,GPM_GR-40,"Firm Quotes & Timing for CapEx, Facilities, Expenses, Tooling",Process Design and Development,Gate 2,X,required,"Verify with M.Eng that firm quotes and timing have been received for equipment and tooling, confirm start up expenses and any facility required",MP-M-009,"Mfg Engineering,Maintenance",,False,Gate2,Gate 2
GPM_GR-41-Gate2-82,Gate Checklist-更新版,37,Process Design and Development-Jim Ji,GPM_GR-41,New Floor Plan Layout & Move Plan,Process Design and Development,Gate 2,X,required,Verify that Floor Plan Layout study is completed and any moves are included in the timing plan,Layout,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-42-Gate2-83,Gate Checklist-更新版,38,Process Design and Development-Jim Ji,GPM_GR-42,Updated Cap Ex Timeline with PPAP and SOP Milestones,Process Design and Development,Gate 2,X,required,Verify in detail and update the timing plan for Cap.Ex installation and validation,"Timing Plan, Spending Curve Updated",Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-43-Gate2-84,Gate Checklist-更新版,39,Process Design and Development-Jim Ji,GPM_GR-43,Updated NUD List with Action Items,Process Design and Development,Gate 2,X,required,Check Process NUD list and the related action plan,,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-45-CKO-85,Gate Checklist-更新版,40,Process Design and Development-Jim Ji,GPM_GR-45,Conversion strategy details for equipment,Process Design and Development,CKO,X,required,Verify that any conversion of existing equipment is planned and included in the timing plan,,Mfg Engineering,,False,CKO,CKO
GPM_GR-45-PKO-86,Gate Checklist-更新版,40,Process Design and Development-Jim Ji,GPM_GR-45,Conversion strategy details for equipment,Process Design and Development,PKO,X,required,Verify that any conversion of existing equipment is planned and included in the timing plan,,Mfg Engineering,,False,PKO,PKO
GPM_GR-45-Gate1-87,Gate Checklist-更新版,40,Process Design and Development-Jim Ji,GPM_GR-45,Conversion strategy details for equipment,Process Design and Development,Gate 1,X,required,Verify that any conversion of existing equipment is planned and included in the timing plan,,Mfg Engineering,,False,Gate1,Gate 1
GPM_GR-46-Gate2-88,Gate Checklist-更新版,41,Process Design and Development-Jim Ji,GPM_GR-46,Packaging Plan with fleet calculator and costs,Process Design and Development,Gate 2,X,required,"Verify packaging plan. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,Gate2,Gate 2
GPM_GR-47-Gate2-89,Gate Checklist-更新版,42,Process Design and Development-Jim Ji,GPM_GR-47,Material Handling Plan,Process Design and Development,Gate 2,X,required,"Verify that any specific material handling is included in the plan.  Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,CI",,False,Gate2,Gate 2
GPM_GR-48-Gate3-90,Gate Checklist-更新版,43,Process Design and Development-Jim Ji,GPM_GR-48,"Process Documentation (Work Instructions, Setup Checklist, Registers)",Process Design and Development,Gate 3,X,required,"Verify that all process documentation have been released and available on the shop floor (where required), If serial equipment needed for OTS, then evaluate at Gate 3. If not, at Gate 4",,Mfg Engineering,,False,Gate3,Gate 3
GPM_GR-48-Gate4-91,Gate Checklist-更新版,43,Process Design and Development-Jim Ji,GPM_GR-48,"Process Documentation (Work Instructions, Setup Checklist, Registers)",Process Design and Development,Gate 4,X,required,"Verify that all process documentation have been released and available on the shop floor (where required), If serial equipment needed for OTS, then evaluate at Gate 3. If not, at Gate 4",,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-50-Gate3-92,Gate Checklist-更新版,44,Process Design and Development-Jim Ji,GPM_GR-50,Make/Create max/min samples for testing print or machine process limits. Include Mastering Strategy,Process Design and Development,Gate 3,X,required,"Define the plan and quantity of samples needed to test print, define machine process limits, verify error proofings and  final master samples needed.",MP-M-003 Section 11,Mfg Engineering,,False,Gate3,Gate 3
GPM_GR-50-Gate4-93,Gate Checklist-更新版,44,Process Design and Development-Jim Ji,GPM_GR-50,Make/Create max/min samples for testing print or machine process limits. Include Mastering Strategy,Process Design and Development,Gate 4,X,required,"Verify that process limits have geen defned, all error proofing devices have been verified and master parts are available",MP-M-003 Section 11,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-51-Gate4-94,Gate Checklist-更新版,45,Process Design and Development-Jim Ji,GPM_GR-51,Material Handling in Place,Process Design and Development,Gate 4,X,required,"Verify that all material handling devices are installed. Include packagig verification with rust inhibitor and part survivability. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,CI",,False,Gate4,Gate 4
GPM_GR-52-Gate4-95,Gate Checklist-更新版,46,Process Design and Development-Jim Ji,GPM_GR-52,Approved Customer Packaging Form,Process Design and Development,Gate 4,X,required,"Verify that Customer Packaging is approved and available for PPAP shipment. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,Gate4,Gate 4
GPM_GR-54-Gate4-96,Gate Checklist-更新版,47,Process Design and Development-Jim Ji,GPM_GR-54,Capacity Verification,Process Design and Development,Gate 4,X,required,Capacity Verification: verify that appropriate capacity is installed (based on Customer requirement). At Gate 4 the production of a continuous 300 parts must meet the contracted requirements.,Customer Capacity Verification form or GSM-F028,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-54-Gate5-97,Gate Checklist-更新版,47,Process Design and Development-Jim Ji,GPM_GR-54,Capacity Verification,Process Design and Development,Gate 5,X,required,Capacity Verification: verify that appropriate capacity is installed (based on Customer requirement). Build a minimum of 1 day of production before SOP to demonstrate full capacity – Verify any pending from PPAP has been resolved.,Customer Capacity Verification form or GSM-F028,Mfg Engineering,,False,Gate5,Gate 5
GPM_GR-55-Gate4-98,Gate Checklist-更新版,48,Process Design and Development-Jim Ji,GPM_GR-55,Job Safety Analysis (JSA),Process Design and Development,Gate 4,X,required,Verify has been completed for any new process,JSA,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-55-Gate5-99,Gate Checklist-更新版,48,Process Design and Development-Jim Ji,GPM_GR-55,Job Safety Analysis (JSA),Process Design and Development,Gate 5,X,required,Verify has been completed for any new process,JSA,Mfg Engineering,,False,Gate5,Gate 5
GPM_GR-129-Gate0-100,Gate Checklist-更新版,49,Process Design and Development-Jim Ji,GPM_GR-129,MSOk Rating and Risks,Process Design and Development,Gate 0,X,required,"Check the MSOk form, review the assumptions, rating, and risks identified so they are followed up",MP-M-005 MSOk form,Mfg Engineering,,False,CKO,Gate 0
GPM_GR-130-Gate2-101,Gate Checklist-更新版,50,Process Design and Development-Jim Ji,GPM_GR-130,Machine / Equipment Specification,Process Design and Development,Gate 2,X,required,"Create machine specification that includes all the items that the supplier must consider to develop a concept and prepare a quote.
Cross check the assumptions with other RUs or GCIC ME teams",MP-M-003,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-131-CKO-102,Gate Checklist-更新版,51,Process Design and Development-Jim Ji,GPM_GR-131,Process Flow,Process Design and Development,CKO,X,required,"PKO Gate: Develop preliminary process flow
Gate 2: Develop final process flow",Process Flow document,Mfg Engineering,,False,CKO,CKO
GPM_GR-131-PKO-103,Gate Checklist-更新版,51,Process Design and Development-Jim Ji,GPM_GR-131,Process Flow,Process Design and Development,PKO,X,required,Develop preliminary process flow,Process Flow document,Mfg Engineering,,False,PKO,PKO
GPM_GR-131-Gate2-104,Gate Checklist-更新版,51,Process Design and Development-Jim Ji,GPM_GR-131,Process Flow,Process Design and Development,Gate 2,X,required,Develop final process flow,Process Flow document,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-132-PKO-105,Gate Checklist-更新版,52,Process Design and Development-Jim Ji,GPM_GR-132,PFMEA,Process Design and Development,PKO,X,required,"Gate 1: Preliminary PFMEA and required error proofing for all processes
Gate 2: PFMEA available for all processes. Document must include all prevention/detection controls that must be quoted and considered by the equipment supplier
Gate 4: All PFMEA's with Product Engineering Sing Off. Verify PFMEA’s are completed and reviewed, all new equipment / tooling are in place and formally validated",MP-M-013,Mfg Engineering,,False,PKO,PKO
GPM_GR-132-Gate1-106,Gate Checklist-更新版,52,Process Design and Development-Jim Ji,GPM_GR-132,PFMEA,Process Design and Development,Gate 1,X,required,Preliminary PFMEA and required error proofing for all processes,MP-M-013,Mfg Engineering,,False,Gate1,Gate 1
GPM_GR-132-Gate2-107,Gate Checklist-更新版,52,Process Design and Development-Jim Ji,GPM_GR-132,PFMEA,Process Design and Development,Gate 2,X,required,PFMEA available for all processes. Document must include all prevention/detection controls that must be quoted and considered by the equipment supplier,MP-M-013,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-132-Gate4-108,Gate Checklist-更新版,52,Process Design and Development-Jim Ji,GPM_GR-132,PFMEA,Process Design and Development,Gate 4,X,required,"All PFMEA's with Product Engineering Sing Off. Verify PFMEA’s are completed and reviewed, all new equipment / tooling are in place and formally validated",MP-M-013,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-133-Gate2-109,Gate Checklist-更新版,53,Process Design and Development-Jim Ji,GPM_GR-133,Define / Confirm manufacturing strategy for OTS for internal processes,Process Design and Development,Gate 2,X,required,Develop plan to ensure that production intent processes will be used in BorgWarner to produce OTS parts,,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-134-Gate2-110,Gate Checklist-更新版,54,Process Design and Development-Jim Ji,GPM_GR-134,Process Validation,Process Design and Development,Gate 2,X,required,Prepare the plan to validate each process,,Mfg Engineering,,False,Gate2,Gate 2
GPM_GR-134-Gate4-111,Gate Checklist-更新版,54,Process Design and Development-Jim Ji,GPM_GR-134,Process Validation,Process Design and Development,Gate 4,X,required,Review validation plan status at PPAP,,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-134-Gate5-112,Gate Checklist-更新版,54,Process Design and Development-Jim Ji,GPM_GR-134,Process Validation,Process Design and Development,Gate 5,X,required,Complete validation plan at SOP,,Mfg Engineering,,False,Gate5,Gate 5
GPM_GR-135-Gate3-113,Gate Checklist-更新版,55,Process Design and Development-Jim Ji,GPM_GR-135,Targeting component dimensions for optimal assembly,Process Design and Development,Gate 3,X,required,"Define the range, within specification, in which the components must be produced to have an optimal assembly",,Mfg Engineering,,False,Gate3,Gate 3
GPM_GR-136-Gate3-114,Gate Checklist-更新版,56,Process Design and Development-Jim Ji,GPM_GR-136,Create spare parts list,Process Design and Development,Gate 3,X,required,"Create spare part list based on supplier recommendations and internal guidelines. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Maintenance",,False,Gate3,Gate 3
GPM_GR-137-Gate3-115,Gate Checklist-更新版,57,Process Design and Development-Jim Ji,GPM_GR-137,Create preventive maintenance plan,Process Design and Development,Gate 3,X,required,"Create preventive maintenance plan based on supplier recommendations and internal guidelines. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Maintenance",,False,Gate3,Gate 3
GPM_GR-138-Gate3-116,Gate Checklist-更新版,58,Process Design and Development-Jim Ji,GPM_GR-138,Equipment readiness,Process Design and Development,Gate 3,X,required,Equipment / tooling ready for OTS,,Mfg Engineering,,False,Gate3,Gate 3
GPM_GR-138-Gate4-117,Gate Checklist-更新版,58,Process Design and Development-Jim Ji,GPM_GR-138,Equipment readiness,Process Design and Development,Gate 4,X,required,Equipment sign-off,,Mfg Engineering,,False,Gate4,Gate 4
GPM_GR-113-Gate6-118,Gate Checklist-更新版,59,Process Design and Development-Jim Ji,GPM_GR-113,Internal Processes Performance,Process Design and Development,Gate 6,X,required,Check and track internal process performance – based on the key internal processes defined in the Contract,OEE / Scrap reports,Mfg Engineering,,False,Gate6,Gate 6
GPM_GR-21-Gate0-119,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,CKO,Gate 0
GPM_GR-21-PKO-121,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,PKO,X,required,Check status of the ESOK as reported at the Gate0 and at the current state,MP-E-GEN002,Product Eng,,True,PKO,PKO
GPM_GR-21-Gate1-122,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 1,X,required,Check status of the ESOK as reported at the Gate0 and at the current state,MP-E-GEN002,Product Eng,,True,Gate1,Gate 1
GPM_GR-21-Gate2-123,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 2,X,required,"Check any progress on NUD, CPS, DR, DFMEA, DVP&R",MP-E-GEN002,Product Eng,,True,Gate2,Gate 2
GPM_GR-21-Gate3-124,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate3,Gate 3
GPM_GR-21-Gate4-125,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate4,Gate 4
GPM_GR-21-Gate5-126,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate5,Gate 5
GPM_GR-21-Gate6-127,Gate Checklist-更新版,61,Product Design and Development - AE,GPM_GR-21,"ESO K (product NUD, CPS, DR, DMEA, DVP&R)",Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate6,Gate 6
GPM_GR-22-Gate0-128,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,CKO,Gate 0
GPM_GR-22-PKO-130,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,PKO,PKO
GPM_GR-22-Gate1-131,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 1,X,required,Check if the ESO1 is executed or planned in time for prototype phase builds,MP-E-GEN002,Product Eng,,True,Gate1,Gate 1
GPM_GR-22-Gate2-132,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 2,X,required,"Verify the status of the prototype builds (on time deliveries, customer satisfaction)",MP-E-GEN002,Product Eng,,True,Gate2,Gate 2
GPM_GR-22-Gate3-133,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 3,X,required,Release of R1 DWG (Proto): check with ENG if there are any pending from ESO1,MP-E-GEN002,Product Eng,,True,Gate3,Gate 3
GPM_GR-22-Gate4-134,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate4,Gate 4
GPM_GR-22-Gate5-135,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate5,Gate 5
GPM_GR-22-Gate6-136,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate6,Gate 6
GPM_GR-24-Gate0-137,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,CKO,Gate 0
GPM_GR-24-PKO-139,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,PKO,PKO
GPM_GR-24-Gate1-140,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 1,X,required,Verify status of R2 drawings,MP-E-GEN002,Product Eng,,True,Gate1,Gate 1
GPM_GR-24-Gate2-141,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 2,X,required,Verify that R2 (where applicable) have been released,MP-E-GEN002,Product Eng,,True,Gate2,Gate 2
GPM_GR-24-Gate3-142,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate3,Gate 3
GPM_GR-24-Gate4-143,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate4,Gate 4
GPM_GR-24-Gate5-144,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate5,Gate 5
GPM_GR-24-Gate6-145,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate6,Gate 6
GPM_GR-25-Gate0-146,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,CKO,Gate 0
GPM_GR-25-PKO-148,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,PKO,PKO
GPM_GR-25-Gate1-149,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 1,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate1,Gate 1
GPM_GR-25-Gate2-150,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 2,X,required,Verify the status of R3 drawings that are necessary to kick off suppliers and internal processes – highlight and track any deviation and ESO 3 rating and plan if required.,MP-E-GEN002,Product Eng,,True,Gate2,Gate 2
GPM_GR-25-Gate3-151,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 3,X,required,"Verify that R3 DWG are available for all OTS components, verify ESO 3 execution and rating – Discuss and evaluate any deviation",MP-E-GEN002,Product Eng,,True,Gate3,Gate 3
GPM_GR-25-Gate4-152,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 4,X,required,Check with ENG if there are any pending from ESO3,MP-E-GEN002,Product Eng,,True,Gate4,Gate 4
GPM_GR-25-Gate5-153,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate5,Gate 5
GPM_GR-25-Gate6-154,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate6,Gate 6
GPM_GR-26-Gate0-155,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,CKO,Gate 0
GPM_GR-26-PKO-157,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,PKO,PKO
GPM_GR-26-Gate1-158,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 1,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate1,Gate 1
GPM_GR-26-Gate2-159,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 2,X,required,Check with ENG if they are expecting issue to release ESO4 in time for PPAP submission due date,MP-E-GEN002,Product Eng,,True,Gate2,Gate 2
GPM_GR-26-Gate3-160,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate3,Gate 3
GPM_GR-26-Gate4-161,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 4,X,required,Verify execution and rating of the ESO4. It is mandatory to have an ESO4 done before Gate 4,MP-E-GEN002,Product Eng,,True,Gate4,Gate 4
GPM_GR-26-Gate5-162,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate5,Gate 5
GPM_GR-26-Gate6-163,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True,Gate6,Gate 6
GPM_GR-27-CKO-164,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,CKO,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,CKO,CKO
GPM_GR-27-PKO-165,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,PKO,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,PKO,PKO
GPM_GR-27-Gate1-166,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,Gate 1,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,Gate1,Gate 1
GPM_GR-27-Gate2-167,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,Gate 2,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,Gate2,Gate 2
GPM_GR-27-Gate3-168,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,Gate 3,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,Gate3,Gate 3
GPM_GR-27-Gate4-169,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,Gate 4,X,required,"PKO Gate - Gate 4: Check with ENG the status of internal and customer testing, verify with Eng.Manager that the ESO rating (risk) is appropriate",MP-E-GEN 007,Product Eng,,False,Gate4,Gate 4
GPM_GR-27-Gate5-170,Gate Checklist-更新版,66,Product Design and Development - AE,GPM_GR-27,Check DV/PV Testing Status,Product Design and Development,Gate 5,X,required,"Check with ENG the status of internal and customer testing, verify with Eng.Manager any update on the last ESO4",MP-E-GEN 007,Product Eng,,False,Gate5,Gate 5
